COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,OBSERVER ID,code,group,YEAR
Rough-legged Hawk,38.551789,-121.6208018,1960-01-03,obsr234902,4.0,ACCIPITRIFORMES,1960
Lawrence's Goldfinch,38.551789,-121.6208018,1960-01-03,obsr234902,4.0,PASSERIFORMES,1960
Red-breasted Merganser,38.551789,-121.6208018,1965-01-03,obsr234902,4.0,ANSERIFORMES,1965
Solitary Sandpiper,38.6657506,-121.7174863,1967-08-05,obsr234902,4.0,CHARADRIIFORMES,1967
Pectoral Sandpiper,38.6657506,-121.7174863,1967-10-01,obsr234902,4.0,CHARADRIIFORMES,1967
Lark Bunting,38.5307103,-121.9616318,1971-12-27,obsr234902,4.0,PASSERIFORMES,1971
Evening Grosbeak,38.5413853,-121.5672398,1971-12-29,obsr234902,4.0,PASSERIFORMES,1971
Fulvous Whistling-Duck,38.6657506,-121.7174863,1972-05-19,obsr234902,4.0,ANSERIFORMES,1972
Lawrence's Goldfinch,38.5164914,-122.0607769,1972-06-05,obsr718596,4.0,PASSERIFORMES,1972
Mountain Plover,38.6195529,-121.7937469,1972-12-26,obsr21974,4.0,CHARADRIIFORMES,1972
Rough-legged Hawk,38.6195529,-121.7937469,1972-12-31,obsr21974,4.0,ACCIPITRIFORMES,1972
Common Loon,38.5164914,-122.0607769,1973-05-24,obsr718596,4.0,GAVIIFORMES,1973
Fulvous Whistling-Duck,38.6657506,-121.7174863,1973-07-01,obsr30312,4.0,ANSERIFORMES,1973
Pectoral Sandpiper,38.703932,-121.7213917,1973-10-08,obsr171476,4.0,CHARADRIIFORMES,1973
Sharp-tailed Sandpiper,38.6657506,-121.7174863,1973-10-08,obsr21348,4.0,CHARADRIIFORMES,1973
Solitary Sandpiper,38.703932,-121.7213917,1974-04-24,obsr107968,4.0,CHARADRIIFORMES,1974
Red Phalarope,38.6657506,-121.7174863,1974-04-26,obsr30312,4.0,CHARADRIIFORMES,1974
Fulvous Whistling-Duck,38.703932,-121.7213917,1974-05-04,obsr23645,4.0,ANSERIFORMES,1974
Rough-legged Hawk,38.8756659,-122.02034,1975-01-15,obsr107968,4.0,ACCIPITRIFORMES,1975
Chimney Swift,38.5445674,-121.7462239,1975-07-07,obsr21974,5.0,CAPRIMULGIFORMES,1975
Stilt Sandpiper,38.703932,-121.7213917,1975-09-06,obsr718596,4.0,CHARADRIIFORMES,1975
Black Swift,38.7213487,-121.7650698,1975-09-06,obsr718596,4.0,CAPRIMULGIFORMES,1975
